sentence,biological_process,cellular_component,molecular_function
"Discovery of SUMO
Small ubiquitin-like modifier (SUMO) is a highly conserved, ubiquitin-like small protein that can be attached to protein substrates to increase the functional repertoire of the eukaryotic proteome.",0.9852237701416016,0.0033662866335362196,0.011409911327064037
"The SUMO proteins were discovered independently in a variety of contexts, and their precise role in the cell caused plenty of confusion, mainly due to their multifunctional nature.",0.33240994811058044,0.6531617045402527,0.014428315684199333
"The earliest paper directly pertaining to sumoylation was published in 1995 by Meluh and Koshland, who stumbled upon the sole SUMO gene (SMT3) in Saccharomyces cerevisiae while conducting a genetic screen for suppressors of MIF2, a centromeric protein [[1]].",0.9634456038475037,0.023843716830015182,0.012710703536868095
"Not suspecting the future simplications of their discovery, the authors merely went on to characterize the MIF2 gene, known back then to be essential for cell division.",0.9710443019866943,0.006828951183706522,0.022126739844679832
"Only a year later, three independent studies identified human SUMO in different settings, all reporting similarities to ubiquitin, as well as to yeast SMT3.",0.8886823058128357,0.0693741962313652,0.04194352403283119
Shen et al.,0.2929416596889496,0.07648597657680511,0.6305723190307617
"[[2]], interested in the RAD51/RAD52-mediated DNA repair pathway, identified human SUMO as a novel interaction partner of both RAD51 and RAD52 proteins and named it ubiquitin-like protein 1 (Ubl1).",0.19164127111434937,0.18681861460208893,0.6215401291847229
Okura et al.,0.18886524438858032,0.19446219503879547,0.6166725754737854
[[3]] were studying extrinsic apoptotic pathways and identified SUMO as a novel binding partner to both FAS and tumor necrosis factor (TNF) receptor.,0.8431652188301086,0.06539763510227203,0.09143712371587753
"As this new protein protected the cell from FAS/TNF-induced cell death, the authors named it “Sentrin”, after a video game character called Sentry the Guardian.",0.33601871132850647,0.6317182183265686,0.032263025641441345
"Boddy et al., interested in fishing out proteins associated with promyelocytic leukemia (PML) nuclear bodies (NBs), identified SUMO as the first PML NB-associated protein that interacts with PML [[4]].",0.414074569940567,0.11267313361167908,0.47325223684310913
"Here, the small protein was christened PIC1 (for PML-interacting clone).",0.07488030940294266,0.8679320812225342,0.05718761309981346
"Identification of SUMO as a post-translational modifier
While SUMO was initially identified as predominantly a binding partner for nuclear proteins, later evidence from Michael Matunis (Günter Blobel’s laboratory) and Frauke Melchior (Larry Gerace’s laboratory) indicated that it covalently attaches to its targets to serve as a post-translational modification (PTM) [[5, 6]].",0.8796929121017456,0.01148205902427435,0.10882509499788284
